trade_id,entry_date,exit_date,symbol,company_name,sector,entry_price,exit_price,shares,capital_allocated,gross_pnl_inr,net_pnl_inr,return_pct,is_win,total_charges_inr,mfe_pct,mae_pct,highest_price_reached,lowest_price_reached,holding_period,sl_or_tp_hit,trade_type,actual_rank,pred_rank,selection_reason
621,2026-05-07,2026-05-11,HEROMOTOCO,Hero MotoCorp Ltd.,Mid-Cap Equities,5245.47,5254.47,381,1998524.07,3429.0,-1032.1070353736404,-0.05164346283673433,False,4461.10703537364,4.061218537137753,-1.896302905173421,5458.5,5146.0,3 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,15,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.05%), RSI-14 (49.5), clean gap (+1.26%) holding above prev_close. PIT-Score: 5.52 (Rank #1)."
622,2026-05-07,2026-05-11,ENDURANCE,Endurance Technologies Ltd.,Mid-Cap Equities,2379.75,2501.1875512695315,840,1998990.0,102007.54306640662,97443.25087460509,4.874624228965882,True,4564.292191801531,13.163147389431662,-0.6198130055678117,2693.0,2365.0,3 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,3,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.63%), RSI-14 (49.4), clean gap (+0.88%) holding above prev_close. PIT-Score: 1.00 (Rank #2)."
623,2026-05-14,2026-05-18,TATACOMM,Tata Communications Ltd.,Mid-Cap Equities,1577.148,1664.165,1268,1999823.6639999999,110337.55599999987,105762.77925399208,5.2886052484471495,True,4574.776746007784,8.803993030457516,-0.21227882049591487,1716.0,1573.800048828125,3 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,3,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.24%), RSI-14 (52.2), clean gap (+0.98%) holding above prev_close. PIT-Score: 1.86 (Rank #1)."
625,2026-05-19,2026-05-19,AWL,AWL Agri Business Ltd.,Mid-Cap Equities,200.59038244628906,201.76565817260743,9970,1999886.1129895018,11717.498991394183,10962.081278232496,0.5481352766556282,True,755.4177131616866,1.4006710670426252,-0.5336139054995456,203.39999389648438,199.52000427246094,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,45,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.90%), RSI-14 (52.4), clean gap (+0.41%) holding above prev_close. PIT-Score: 0.73 (Rank #1)."
624,2026-05-14,2026-05-20,INDUSTOWER,Indus Towers Ltd.,Mid-Cap Equities,416.7819122314453,426.3955,4798,1999719.6148864746,46125.99411352561,41617.98630160565,2.081191082579261,True,4508.007811919958,5.426838593820483,-0.427540682345103,439.3999938964844,415.0,5 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,35,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+1.35%), RSI-14 (49.9), clean gap (+0.67%) holding above prev_close. PIT-Score: 0.77 (Rank #2)."
627,2026-05-22,2026-05-25,LENSKART,Lenskart Solutions Ltd.,Mid-Cap Equities,503.004,503.00198798400004,3976,1999943.904,-7.999775615986437,-4468.700815373107,-0.22344130785045793,False,4460.70103975712,3.120454749272616,-0.5972119506007942,518.7000122070312,500.0,2 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,9,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.20%), RSI-14 (49.6), clean gap (+0.70%) holding above prev_close. PIT-Score: 1.99 (Rank #2)."
628,2026-05-25,2026-05-25,PATANJALI,Patanjali Foods Ltd.,Mid-Cap Equities,470.2887061157227,467.5131121826172,4252,1999667.5784040529,-11801.82540356461,-12550.434251630315,-0.6276260308049249,False,748.6088480657046,0.023663715354949513,-1.4435188486223602,470.3999938964844,463.5,1 Day (Intraday),INTRADAY SQUARE OFF,INTRADAY,64,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.92%), RSI-14 (50.5), clean gap (+1.27%) holding above prev_close. PIT-Score: 1.09 (Rank #1)."
626,2026-05-22,2026-05-26,3MINDIA,3M India Ltd.,Mid-Cap Equities,32565.0,33118.63,61,1986465.0,33771.429999999935,29305.682053996752,1.4752679787460012,True,4465.747946003181,6.0801473975126665,-0.6602180254874866,34545.0,32350.0,3 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,6,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.14%), RSI-14 (52.1), clean gap (+0.93%) holding above prev_close. PIT-Score: 2.66 (Rank #1)."
630,2026-06-09,2026-06-09,THERMAX,Thermax Ltd.,Mid-Cap Equities,4769.820404296875,4730.420102539062,419,1998554.7494003905,-16508.726436523488,-17255.595828326135,-0.8634037087802165,False,746.8693918026461,0.5656271746902908,-1.488957520190822,4796.7998046875,4698.7998046875,1 Day (Intraday),INTRADAY SQUARE OFF,INTRADAY,88,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+1.47%), RSI-14 (56.8), clean gap (+1.36%) holding above prev_close. PIT-Score: 1.00 (Rank #2)."
632,2026-06-09,2026-06-09,TIINDIA,Tube Investments of India Ltd.,Mid-Cap Equities,3078.7452978515626,3099.289,649,1998105.6983056641,13332.862694336101,12577.610132799324,0.6294767160448406,True,755.252561536777,2.967273709469811,-0.6056103506946064,3170.10009765625,3060.10009765625,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,62,Rank #4,"Point-in-Time Execution: Coiling proximity to 20-DMA (+1.18%), RSI-14 (53.3), clean gap (+0.54%) holding above prev_close. PIT-Score: 0.66 (Rank #4)."
