symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,trade_type,exit_reason
NMDC,2026-01-29,2026-01-30,79.6248963381679,79.19889974139925,17216,-7333.957409969172,-0.5350042717285843,SWING,STOP_LOSS_HIT
BIOCON,2026-02-02,2026-02-02,370.56652830743514,368.96843951416014,3704,-5919.320890290587,-0.4312555698363468,INTRADAY,SQUARE_OFF_INTRADAY
SUPREMEIND,2026-02-03,2026-02-03,3622.097332657558,3646.8518359375,378,9357.202239817952,0.6834300960592663,INTRADAY,SQUARE_OFF_INTRADAY
ABCAPITAL,2026-02-04,2026-02-04,354.05899999999997,345.90680609130857,3877,-31606.055783996566,-2.3024958859092415,INTRADAY,SQUARE_OFF_INTRADAY
NYKAA,2026-02-05,2026-02-05,253.80915306091305,257.77342852783204,5397,21395.194694961796,1.5619119401763981,INTRADAY,SQUARE_OFF_INTRADAY
UNOMINDA,2026-02-05,2026-02-05,1209.2650030623315,1225.541076171875,1132,18424.514760003134,1.3459475853783933,INTRADAY,SQUARE_OFF_INTRADAY
NLCINDIA,2026-02-04,2026-02-06,254.76199999999997,258.2823878173828,5389,18971.369947876126,1.3818339538011322,SWING,STOP_LOSS_HIT
LINDEINDIA,2026-02-09,2026-02-09,6101.933792135664,6269.282986328125,225,37653.56869330378,2.742559980053297,INTRADAY,SQUARE_OFF_INTRADAY
3MINDIA,2026-02-09,2026-02-09,34954.83849394014,35892.2279375,39,36558.18829883466,2.6817158480717094,INTRADAY,SQUARE_OFF_INTRADAY
NIACL,2026-02-09,2026-02-09,149.728313293023,151.41694192504883,8006,13519.160827998756,1.1277951343251464,INTRADAY,SQUARE_OFF_INTRADAY
ASTRAL,2026-02-10,2026-02-10,1501.6366589137301,1526.734235595703,922,23139.96570077901,1.671348160887884,INTRADAY,SQUARE_OFF_INTRADAY
ANTHEM,2026-02-05,2026-02-11,611.2393976395254,688.9694583740235,2241,174193.0661060103,12.716794930869124,SWING,MAX_HOLDING_DAYS
LICI,2026-02-06,2026-02-11,415.2619375070896,433.304134054774,3312,59755.754965930726,4.344774928324937,SWING,STOP_LOSS_HIT
SWIGGY,2026-02-10,2026-02-12,336.0551377563476,339.7191939086914,4119,15092.247291504069,1.0903139814515692,SWING,STOP_LOSS_HIT
